# packages in environment at /home/datascience/conda/tensorflow28_p38_cpu_v1:
#
# Name                    Version                   Build  Channel
libev                     4.33                 h7f8727e_1    main
libevent                  2.1.12               h8f2d780_0    main
libffi                    3.3                  he6710b0_2    main
libgcc-devel_linux-64     11.2.0               h1234567_1    main
libgcc-ng                 12.2.0              h65d4601_19    conda-forge
libgfortran-ng            11.2.0               h00389a5_1    main
libgfortran5              11.2.0               h1234567_1    main
libgomp                   12.2.0              h65d4601_19    conda-forge
libllvm10                 10.0.1               hbcb73fb_5    main
libnghttp2                1.46.0               hce63b2e_0    main
libopenblas               0.3.21               h043d6bf_0    main
libpng                    1.6.37               hbc83047_0    main
libpq                     12.9                 h16c4e8d_3    main
libprotobuf               3.20.1               h4ff587b_0    main
libsodium                 1.0.18               h7b6447c_0    main
libssh2                   1.10.0               h8f2d780_0    main
libstdcxx-devel_linux-64  11.2.0               h1234567_1    main
libstdcxx-ng              12.2.0              h46fd767_19    conda-forge
libtiff                   4.4.0                hecacb30_1    main
libuuid                   1.41.5               h5eee18b_0    main
libwebp                   1.2.4                h11a3e52_0    main
libwebp-base              1.2.4                h5eee18b_0    main
libxcb                    1.15                 h7f8727e_0    main
libxkbcommon              1.0.1                hfa300c1_0    main
libxml2                   2.9.14               h74e7548_0    main
libxslt                   1.1.35               h4e12654_0    main
lz4-c                     1.9.3                h295c915_1    main
markdown                  3.3.4            py38h06a4308_0    main
markupsafe                2.1.1            py38h7f8727e_0    main
matplotlib                3.5.2            py38h06a4308_0    main
matplotlib-base           3.5.2            py38hf590b9c_0    main
matplotlib-inline         0.1.6            py38h06a4308_0    main
mistune                   0.8.4           py38h7b6447c_1000    main
mkl                       2022.1.0           hc2b9512_224    main
multidict                 6.0.2            py38h5eee18b_0    main
munch                     2.5.0                    pypi_0    pypi
munkres                   1.1.4                      py_0    main
nb_conda_kernels          2.3.1            py38h06a4308_0    main
nbclassic                 0.4.8            py38h06a4308_0    main
nbclient                  0.5.13           py38h06a4308_0    main
nbconvert                 6.4.4            py38h06a4308_0    main
nbformat                  5.5.0            py38h06a4308_0    main
ncurses                   6.3                  h5eee18b_3    main
nest-asyncio              1.5.5            py38h06a4308_0    main
ninja                     1.10.2               h06a4308_5    main
ninja-base                1.10.2               hd09550d_5    main
notebook                  6.5.2            py38h06a4308_0    main
notebook-shim             0.2.2            py38h06a4308_0    main
nspr                      4.33                 h295c915_0    main
nss                       3.74                 h0370c37_0    main
numexpr                   2.8.3            py38hd2a5715_0    main
numpy                     1.23.3           py38hf838250_1    main
numpy-base                1.23.3           py38h1e6e340_1    main
oauthlib                  3.2.1            py38h06a4308_0    main
oci                       2.88.0                   pypi_0    pypi
oci-cli                   3.20.1                   pypi_0    pypi
ocifs                     1.1.3                    pypi_0    pypi
openpyxl                  3.0.10                   pypi_0    pypi
